Customer_ID,Purchase_Date,Cover_Start_Date,Cover_End_Date,Period_of_Cover,LOB,Broker,Age,Premium,Vehicle_Type,Vehicle_Age,Vehicle_Value,Vehicle_Use,Vehicle_Mileage,Occupation,NCD,Number_of_Drivers,Driver1_Age,Driver2_Age,Driver1_LicenceYears,Driver2_LicenceYears,Driver1_LicenceRecord,Driver2_LicenceRecord,Driver1_Claims_Count,Driver2_Claims_Count,Location_Risk,Daytime_Parking,Overnight_Parking,Telematics,Credit_Score,Fraud_Risk_Score,CCJs,Sale_Flag,Policy_Type,Annual_Mileage,Gender,Marital_Status,Previous_Claims_Count
CUST0000010,2022-08-18,2022-10-13,2023-10-13,365,Private_Motor,Broker_B,490.0,30701.33,Sedan,13,10020000.63,Personal,84089.0,Student,6,4,490.0,491.0,472.0,473.0,Clean,Minor Violation,0,1.0,Low,Garage,Garage,No,15600.0,40.0,No,0,Third-Party Only,18022.0,Female,Divorced,0
CUST0000011,2021-06-21,2021-10-02,2022-10-02,365,Private_Motor,Broker_A,490.0,30701.14,Hatchback,8,10020019.26,Personal,77485.0,Student,2,3,492.0,490.0,474.0,472.0,Clean,Clean,0,0.0,High,Workplace,Street,Yes,15600.0,58.0,Yes,0,Comprehensive,14473.0,Male,Married,0
CUST0000012,2022-07-23,2022-08-14,2023-08-14,365,Private_Motor,Broker_A,493.0,30700.26,SUV,14,10020005.51,Personal,100968.0,Teacher,10,3,490.0,491.0,472.0,473.0,Clean,Clean,0,0.0,Low,Street,Driveway,Yes,15600.0,38.0,No,0,Third-Party Only,12849.0,Male,Divorced,0
CUST0000013,2021-12-07,2022-03-16,2023-03-16,365,Private_Motor,Broker_A,491.0,30701.62,Truck,12,10020005.04,Personal,85208.0,Engineer,6,2,492.0,490.0,474.0,472.0,Clean,Clean,0,0.0,High,Workplace,Street,No,15600.0,48.0,No,0,Comprehensive,17823.0,Female,Divorced,0
CUST0000014,2022-09-20,2022-10-14,2023-10-14,365,Private_Motor,Broker_A,491.0,30701.01,Sedan,9,10020004.7,Commercial,60116.0,Teacher,4,2,493.0,490.0,475.0,472.0,Clean,Clean,0,0.0,Medium,Street,Driveway,Yes,15600.0,31.0,No,0,Comprehensive,13993.0,Male,Divorced,0
CUST0000015,2022-06-26,2022-11-27,2023-11-27,365,Private_Motor,Broker_A,495.0,30700.46,Sedan,5,10020002.89,Personal,65120.0,Teacher,14,1,492.0,,474.0,,Minor Violation,,0,,High,Garage,Garage,Yes,15600.0,37.0,No,0,Comprehensive,12280.0,Female,Single,0
CUST0000016,2021-09-06,2021-10-04,2022-10-04,365,Private_Motor,Broker_A,492.0,30700.3,Truck,12,10020012.42,Personal,80652.0,Student,1,1,493.0,,475.0,,Minor Violation,,1,,Medium,Garage,Driveway,No,15600.0,48.0,No,0,Comprehensive,12741.0,Female,Married,1
CUST0000017,2021-12-13,2022-12-01,2023-12-01,365,Private_Motor,Broker_A,490.0,30700.89,Truck,18,10020001.99,Personal,65915.0,Student,14,2,491.0,491.0,473.0,473.0,Clean,Clean,0,0.0,Medium,Garage,Driveway,Yes,15600.0,63.0,No,0,Comprehensive,16721.0,Male,Married,1
CUST0000018,2022-07-14,2023-01-27,2024-01-27,365,Private_Motor,Broker_A,491.0,30700.16,Sedan,19,10020000.64,Personal,81933.0,Student,1,1,491.0,,473.0,,Major Violation,,0,,Medium,Workplace,Garage,No,15600.0,41.0,No,0,Third-Party Only,17487.0,Male,Single,1
CUST0000019,2021-01-12,2021-12-12,2022-12-12,365,Private_Motor,Broker_A,490.0,30700.03,SUV,0,10020001.64,Personal,83280.0,Doctor,6,1,490.0,,472.0,,Clean,,0,,Low,Street,Street,Yes,15600.0,55.0,No,0,Third-Party Only,13957.0,Male,Married,3
CUST0000020,2022-09-26,2023-05-05,2024-05-04,365,Private_Motor,Broker_B,490.0,30700.14,Truck,11,10020001.38,Personal,66297.0,Driver,4,1,495.0,,477.0,,Clean,,0,,Medium,Workplace,Driveway,Yes,15600.0,51.0,No,0,Comprehensive,13096.0,Female,Single,0
CUST0000021,2022-06-01,2022-10-11,2023-10-11,365,Private_Motor,Broker_B,491.0,30700.66,Sedan,18,10020006.41,Personal,79978.0,Driver,3,4,490.0,491.0,472.0,473.0,Clean,Minor Violation,0,0.0,Medium,Workplace,Driveway,No,15600.0,37.0,No,0,Third-Party Fire & Theft,14537.0,Female,Divorced,0
CUST0000022,2022-11-10,2022-11-29,2023-11-29,365,Private_Motor,Broker_A,492.0,30700.47,Hatchback,6,10020005.39,Commercial,94067.0,Doctor,13,3,492.0,494.0,474.0,476.0,Clean,Minor Violation,1,0.0,Low,Street,Driveway,No,15600.0,48.0,No,0,Comprehensive,16719.0,Female,Married,2
CUST0000023,2022-03-21,2022-06-24,2023-06-24,365,Private_Motor,Broker_A,491.0,30700.86,Truck,19,10020005.26,Commercial,94773.0,Student,14,1,491.0,,473.0,,Clean,,0,,High,Street,Street,No,15600.0,30.0,No,0,Comprehensive,13763.0,Male,Single,2
CUST0000024,2020-05-11,2021-05-01,2022-05-01,365,Private_Motor,Broker_A,492.0,30700.37,Truck,8,10020009.85,Personal,77141.0,Teacher,0,4,490.0,490.0,472.0,472.0,Clean,Minor Violation,0,0.0,Low,Street,Street,Yes,15600.0,59.0,Yes,0,Comprehensive,12560.0,Male,Single,2
CUST0000025,2022-02-20,2022-12-20,2023-12-20,365,Private_Motor,Broker_A,492.0,30700.26,Hatchback,12,10020016.91,Commercial,62309.0,Doctor,8,3,490.0,493.0,472.0,475.0,Clean,Minor Violation,1,0.0,Medium,Workplace,Driveway,No,15600.0,45.0,No,0,Third-Party Fire & Theft,12707.0,Male,Married,0
CUST0000026,2021-10-01,2022-07-15,2023-07-15,365,Private_Motor,Broker_A,492.0,30700.08,Hatchback,1,10020015.25,Personal,67472.0,Engineer,6,1,491.0,,473.0,,Clean,,0,,High,Garage,Driveway,No,15601.0,68.0,No,0,Third-Party Fire & Theft,15472.0,Female,Married,1
CUST0000027,2021-02-18,2022-01-28,2023-01-28,365,Private_Motor,Broker_A,491.0,30700.0,Truck,8,10020008.24,Personal,72300.0,Teacher,0,1,496.0,,478.0,,Clean,,0,,High,Garage,Garage,No,15600.0,36.0,No,0,Comprehensive,13577.0,Female,Divorced,1
CUST0000028,2021-01-10,2021-11-20,2022-11-20,365,Private_Motor,Broker_A,490.0,30700.57,Sedan,13,10020002.27,Personal,111944.0,Teacher,3,3,492.0,491.0,474.0,473.0,Clean,Minor Violation,0,0.0,Medium,Workplace,Street,No,15600.0,41.0,No,0,Comprehensive,13328.0,Female,Married,1
CUST0000029,2021-08-30,2021-09-29,2022-09-29,365,Private_Motor,Broker_B,491.0,30700.4,Truck,4,10020001.31,Personal,87525.0,Doctor,3,2,490.0,491.0,472.0,473.0,Clean,Clean,0,0.0,Medium,Street,Street,No,15600.0,54.0,No,0,Comprehensive,21946.0,Female,Married,0
CUST0000030,2020-05-13,2021-04-27,2022-04-27,365,Private_Motor,Broker_B,490.0,30700.65,SUV,18,10020009.59,Personal,90854.0,Student,1,4,490.0,495.0,472.0,477.0,Clean,Clean,0,0.0,Medium,Street,Driveway,Yes,15600.0,58.0,No,0,Comprehensive,18023.0,Female,Married,0
CUST0000031,2021-06-12,2021-12-10,2022-12-10,365,Private_Motor,Broker_A,490.0,30700.08,Truck,17,10020006.65,Personal,96175.0,Doctor,14,4,498.0,490.0,480.0,472.0,Clean,Clean,0,1.0,Medium,Street,Driveway,No,15600.0,48.0,No,0,Comprehensive,13648.0,Male,Single,1
CUST0000032,2022-03-03,2023-01-02,2024-01-02,365,Private_Motor,Broker_A,490.0,30701.22,Sedan,9,10020002.43,Personal,80391.0,Driver,7,2,490.0,491.0,472.0,473.0,Minor Violation,Minor Violation,0,0.0,High,Garage,Street,No,15600.0,33.0,No,1,Comprehensive,14015.0,Male,Divorced,0
CUST0000033,2020-06-12,2021-05-09,2022-05-09,365,Private_Motor,Broker_A,492.0,30700.19,SUV,6,10020002.21,Personal,69311.0,Driver,5,1,490.0,,472.0,,Minor Violation,,1,,Medium,Workplace,Driveway,No,15600.0,45.0,No,0,Third-Party Fire & Theft,14444.0,Female,Married,0
CUST0000034,2022-09-28,2023-03-20,2024-03-19,365,Private_Motor,Broker_A,493.0,30700.05,Sedan,6,10020007.12,Commercial,69223.0,Driver,7,3,491.0,491.0,473.0,473.0,Clean,Clean,0,1.0,Medium,Garage,Driveway,No,15600.0,63.0,No,0,Comprehensive,14121.0,Female,Divorced,0
CUST0000035,2022-02-11,2022-12-27,2023-12-27,365,Private_Motor,Broker_B,492.0,30700.95,SUV,9,10020007.77,Personal,60009.0,Teacher,3,4,490.0,490.0,472.0,472.0,Minor Violation,Clean,0,0.0,Medium,Garage,Driveway,No,15600.0,36.0,Yes,0,Comprehensive,17864.0,Female,Single,1
CUST0000036,2021-11-28,2022-09-23,2023-09-23,365,Private_Motor,Broker_A,493.0,30701.4,Truck,19,10020004.82,Commercial,63733.0,Teacher,1,1,494.0,,476.0,,Clean,,0,,Low,Workplace,Garage,No,15600.0,51.0,No,0,Third-Party Fire & Theft,15404.0,Female,Widowed,1
CUST0000037,2021-10-17,2022-02-24,2023-02-24,365,Private_Motor,Broker_B,493.0,30701.63,SUV,9,10020005.42,Commercial,74100.0,Driver,12,3,491.0,491.0,473.0,473.0,Clean,Clean,0,1.0,Low,Garage,Street,Yes,15600.0,45.0,No,0,Third-Party Only,15556.0,Female,Married,2
CUST0000038,2021-08-04,2021-08-17,2022-08-17,365,Private_Motor,Broker_A,491.0,30700.01,SUV,2,10020017.18,Commercial,62849.0,Teacher,2,4,491.0,490.0,473.0,472.0,Clean,Major Violation,0,0.0,Medium,Garage,Street,Yes,15600.0,52.0,No,0,Comprehensive,14717.0,Male,Married,0
CUST0000039,2022-08-24,2022-10-17,2023-10-17,365,Private_Motor,Broker_A,492.0,30700.15,Sedan,15,10020007.69,Personal,98050.0,Driver,8,2,491.0,491.0,473.0,473.0,Clean,Clean,0,1.0,High,Workplace,Street,Yes,15600.0,39.0,No,0,Comprehensive,13776.0,Female,Divorced,0
CUST0000040,2020-10-24,2021-09-04,2022-09-04,365,Private_Motor,Broker_B,491.0,30700.93,Sedan,0,10020003.04,Personal,85532.0,Doctor,4,3,491.0,492.0,473.0,474.0,Clean,Clean,1,0.0,Low,Garage,Garage,No,15600.0,49.0,No,0,Third-Party Only,13867.0,Female,Married,1
CUST0000041,2022-01-14,2022-05-13,2023-05-13,365,Private_Motor,Broker_A,491.0,30700.08,Truck,16,10020015.61,Personal,139039.0,Driver,10,2,491.0,491.0,473.0,473.0,Clean,Minor Violation,0,1.0,Medium,Garage,Street,Yes,15600.0,57.0,No,0,Comprehensive,22106.0,Male,Married,0
CUST0000042,2020-08-21,2021-05-02,2022-05-02,365,Private_Motor,Broker_B,491.0,30701.25,SUV,17,10020010.22,Personal,73861.0,Student,6,4,491.0,492.0,473.0,474.0,Minor Violation,Clean,0,0.0,Low,Street,Driveway,No,15600.0,92.0,No,0,Comprehensive,16981.0,Female,Married,0
CUST0000043,2022-12-25,2023-02-03,2024-02-03,365,Private_Motor,Broker_A,492.0,30700.3,Sedan,14,10020009.91,Commercial,91829.0,Teacher,8,4,491.0,493.0,473.0,475.0,Minor Violation,Clean,0,0.0,Low,Workplace,Driveway,No,15600.0,44.0,No,0,Third-Party Fire & Theft,15932.0,Female,Divorced,0
CUST0000044,2021-11-23,2022-09-13,2023-09-13,365,Private_Motor,Broker_A,490.0,30700.47,Truck,5,10020011.74,Personal,91383.0,Doctor,2,4,492.0,491.0,474.0,473.0,Clean,Clean,0,1.0,High,Workplace,Garage,Yes,15600.0,56.0,No,0,Third-Party Fire & Theft,16100.0,Female,Divorced,1
CUST0000045,2022-09-05,2023-06-07,2024-06-06,365,Private_Motor,Broker_A,491.0,30700.55,SUV,9,10020002.29,Personal,78739.0,Driver,13,1,490.0,,472.0,,Clean,,0,,Medium,Street,Garage,No,15600.0,30.0,No,0,Third-Party Fire & Theft,14151.0,Male,Single,0
CUST0000046,2022-08-10,2023-02-11,2024-02-11,365,Private_Motor,Broker_A,493.0,30700.13,Hatchback,19,10020022.17,Personal,83108.0,Engineer,5,2,490.0,490.0,472.0,472.0,Clean,Clean,0,0.0,High,Street,Driveway,No,15600.0,53.0,No,0,Third-Party Only,13612.0,Female,Single,1
CUST0000047,2021-11-29,2022-01-02,2023-01-02,365,Private_Motor,Broker_A,491.0,30700.04,SUV,11,10020013.14,Personal,87977.0,Doctor,10,4,492.0,491.0,474.0,473.0,Clean,Clean,0,0.0,Low,Garage,Driveway,No,15600.0,66.0,Yes,0,Comprehensive,13786.0,Female,Married,4
CUST0000048,2021-05-06,2021-12-15,2022-12-15,365,Private_Motor,Broker_A,491.0,30700.56,Hatchback,16,10020001.81,Commercial,68541.0,Student,1,2,490.0,492.0,472.0,474.0,Clean,Clean,0,0.0,Medium,Garage,Street,Yes,15601.0,53.0,No,0,Comprehensive,13783.0,Male,Married,1
CUST0000049,2022-01-31,2022-05-26,2023-05-26,365,Private_Motor,Broker_A,496.0,30700.03,SUV,14,10020011.48,Commercial,107838.0,Driver,10,3,491.0,491.0,473.0,473.0,Clean,Clean,0,0.0,High,Street,Driveway,No,15600.0,69.0,No,0,Comprehensive,20201.0,Female,Widowed,0
CUST0000050,2021-12-26,2022-03-13,2023-03-13,365,Private_Motor,Broker_B,492.0,30700.43,Hatchback,11,10020012.74,Personal,83581.0,Student,13,4,494.0,492.0,476.0,474.0,Clean,Clean,0,0.0,Medium,Garage,Street,No,15600.0,53.0,No,0,Third-Party Only,16933.0,Female,Divorced,0
CUST0000051,2022-04-16,2022-10-14,2023-10-14,365,Private_Motor,Broker_A,491.0,30700.79,Truck,4,10020001.13,Commercial,101074.0,Engineer,2,2,491.0,493.0,473.0,475.0,Clean,Clean,0,0.0,Medium,Workplace,Street,Yes,15600.0,31.0,No,0,Comprehensive,12848.0,Male,Widowed,0
CUST0000052,2020-10-31,2021-06-06,2022-06-06,365,Private_Motor,Broker_A,490.0,30700.83,Truck,10,10020016.52,Commercial,74157.0,Doctor,11,3,492.0,492.0,474.0,474.0,Minor Violation,Clean,0,1.0,High,Garage,Street,No,15600.0,36.0,No,0,Third-Party Fire & Theft,17918.0,Female,Single,0
CUST0000053,2020-04-14,2021-01-08,2022-01-08,365,Private_Motor,Broker_B,493.0,30701.18,Sedan,17,10020002.98,Personal,110928.0,Engineer,0,3,493.0,492.0,475.0,474.0,Clean,Major Violation,0,0.0,Low,Workplace,Street,Yes,15600.0,34.0,No,0,Third-Party Fire & Theft,14886.0,Male,Single,0
CUST0000054,2020-08-08,2021-03-12,2022-03-12,365,Private_Motor,Broker_A,493.0,30700.23,Truck,8,10020017.0,Personal,70280.0,Student,9,4,491.0,492.0,473.0,474.0,Clean,Clean,1,0.0,Low,Garage,Garage,Yes,15600.0,33.0,No,0,Third-Party Fire & Theft,13413.0,Male,Divorced,1
CUST0000055,2020-10-08,2021-03-08,2022-03-08,365,Private_Motor,Broker_A,492.0,30700.47,Hatchback,17,10020005.47,Personal,75423.0,Driver,5,3,493.0,498.0,475.0,480.0,Clean,Clean,0,1.0,Medium,Workplace,Garage,No,15600.0,61.0,No,0,Comprehensive,19911.0,Male,Single,0
CUST0000056,2021-10-28,2022-01-08,2023-01-08,365,Private_Motor,Broker_A,492.0,30700.12,SUV,4,10020038.91,Personal,91626.0,Teacher,11,1,491.0,,473.0,,Clean,,1,,Medium,Street,Driveway,No,15600.0,44.0,No,0,Comprehensive,12789.0,Male,Married,0
CUST0000057,2021-04-22,2022-04-04,2023-04-04,365,Private_Motor,Broker_A,490.0,30700.27,SUV,16,10020007.53,Personal,113464.0,Student,7,1,491.0,,473.0,,Clean,,0,,Low,Garage,Street,Yes,15600.0,61.0,No,0,Comprehensive,15578.0,Female,Married,2
CUST0000058,2022-01-30,2022-04-16,2023-04-16,365,Private_Motor,Broker_A,494.0,30701.96,Truck,10,10020004.82,Personal,87609.0,Doctor,10,2,490.0,490.0,472.0,472.0,Clean,Clean,0,1.0,Low,Street,Street,No,15600.0,33.0,No,0,Comprehensive,16191.0,Female,Married,1
CUST0000059,2021-02-15,2022-02-06,2023-02-06,365,Private_Motor,Broker_B,491.0,30700.55,Hatchback,12,10020003.4,Personal,65622.0,Engineer,1,4,491.0,491.0,473.0,473.0,Minor Violation,Minor Violation,0,1.0,High,Street,Garage,No,15600.0,42.0,No,0,Third-Party Fire & Theft,14107.0,Female,Married,0
CUST0000060,2022-09-27,2022-10-15,2023-10-15,365,Private_Motor,Broker_B,491.0,30700.66,Truck,2,10020017.47,Commercial,75683.0,Engineer,3,2,491.0,490.0,473.0,472.0,Clean,Clean,0,0.0,Medium,Street,Garage,Yes,15600.0,47.0,No,0,Comprehensive,15123.0,Male,Divorced,1
CUST0000061,2022-05-05,2023-03-08,2024-03-07,365,Private_Motor,Broker_A,491.0,30700.82,Hatchback,11,10020000.89,Personal,70012.0,Student,9,2,494.0,492.0,476.0,474.0,Clean,Clean,0,0.0,Low,Workplace,Garage,Yes,15600.0,63.0,No,0,Comprehensive,17085.0,Female,Widowed,2
CUST0000062,2021-07-28,2022-06-01,2023-06-01,365,Private_Motor,Broker_A,493.0,30700.89,Truck,15,10020005.87,Personal,80481.0,Student,13,2,490.0,494.0,472.0,476.0,Clean,Clean,0,1.0,High,Workplace,Driveway,No,15600.0,42.0,No,0,Comprehensive,13670.0,Male,Divorced,1
CUST0000063,2020-12-16,2021-03-23,2022-03-23,365,Private_Motor,Broker_B,491.0,30700.13,Truck,19,10020009.33,Personal,81800.0,Doctor,8,2,490.0,490.0,472.0,472.0,Clean,Clean,0,0.0,Low,Garage,Street,Yes,15600.0,51.0,No,0,Third-Party Only,18702.0,Female,Widowed,0
CUST0000064,2022-10-04,2023-04-29,2024-04-28,365,Private_Motor,Broker_B,490.0,30700.17,Truck,11,10020003.74,Personal,122564.0,Engineer,4,4,491.0,493.0,473.0,475.0,Clean,Minor Violation,0,0.0,Low,Street,Garage,Yes,15600.0,51.0,No,0,Third-Party Only,20748.0,Male,Married,0
CUST0000065,2021-10-24,2022-07-13,2023-07-13,365,Private_Motor,Broker_A,490.0,30700.03,Sedan,14,10020008.75,Personal,87994.0,Driver,9,4,491.0,493.0,473.0,475.0,Minor Violation,Clean,0,0.0,High,Garage,Street,Yes,15600.0,40.0,Yes,0,Comprehensive,15575.0,Female,Divorced,2
CUST0000066,2022-03-25,2022-12-30,2023-12-30,365,Private_Motor,Broker_A,490.0,30700.2,SUV,19,10020023.75,Personal,99932.0,Teacher,11,3,491.0,490.0,473.0,472.0,Clean,Clean,0,0.0,Low,Garage,Garage,No,15600.0,34.0,No,0,Comprehensive,13836.0,Female,Divorced,0
CUST0000067,2021-01-12,2021-09-13,2022-09-13,365,Private_Motor,Broker_A,493.0,30700.37,Truck,19,10020026.08,Personal,127222.0,Teacher,3,1,490.0,,472.0,,Major Violation,,0,,Low,Workplace,Garage,Yes,15600.0,45.0,No,0,Third-Party Only,16436.0,Male,Widowed,1
CUST0000068,2022-02-04,2022-06-21,2023-06-21,365,Private_Motor,Broker_C,490.0,30700.24,Sedan,4,10020009.64,Personal,88596.0,Driver,6,4,492.0,491.0,474.0,473.0,Clean,Clean,0,1.0,High,Workplace,Street,Yes,15600.0,49.0,No,0,Third-Party Fire & Theft,21515.0,Male,Divorced,0
CUST0000069,2020-12-05,2021-07-02,2022-07-02,365,Private_Motor,Broker_A,494.0,30700.06,Sedan,12,10020009.83,Personal,64405.0,Engineer,12,4,490.0,491.0,472.0,473.0,Clean,Clean,0,0.0,High,Workplace,Driveway,No,15600.0,32.0,Yes,0,Comprehensive,18824.0,Female,Single,1
CUST0000070,2022-03-22,2022-04-22,2023-04-22,365,Private_Motor,Broker_B,490.0,30701.1,Hatchback,7,10020004.23,Personal,89209.0,Student,2,4,490.0,492.0,472.0,474.0,Clean,Clean,0,0.0,High,Workplace,Street,Yes,15600.0,58.0,Yes,0,Comprehensive,12826.0,Male,Married,0
CUST0000071,2021-08-22,2022-03-17,2023-03-17,365,Private_Motor,Broker_B,491.0,30700.5,Truck,18,10020028.92,Personal,107724.0,Student,7,3,492.0,492.0,474.0,474.0,Minor Violation,Clean,0,0.0,Medium,Street,Driveway,Yes,15600.0,55.0,No,0,Comprehensive,17941.0,Male,Divorced,0
CUST0000072,2021-06-28,2021-08-28,2022-08-28,365,Private_Motor,Broker_A,491.0,30700.02,SUV,14,10020003.35,Personal,95344.0,Doctor,3,1,490.0,,472.0,,Clean,,0,,Low,Street,Street,Yes,15600.0,36.0,Yes,0,Third-Party Fire & Theft,13928.0,Female,Divorced,0
CUST0000073,2020-05-23,2021-03-24,2022-03-24,365,Private_Motor,Broker_A,492.0,30700.24,Truck,13,10020025.58,Personal,77160.0,Student,14,1,490.0,,472.0,,Clean,,0,,Medium,Street,Garage,No,15600.0,49.0,No,0,Comprehensive,14370.0,Female,Single,1
CUST0000074,2021-06-16,2021-10-04,2022-10-04,365,Private_Motor,Broker_A,494.0,30702.16,Sedan,5,10020001.19,Personal,88909.0,Student,3,1,491.0,,473.0,,Clean,,0,,Medium,Garage,Street,No,15600.0,47.0,Yes,0,Comprehensive,13923.0,Male,Married,0
CUST0000075,2022-02-27,2022-11-01,2023-11-01,365,Private_Motor,Broker_A,490.0,30701.71,Sedan,18,10020002.06,Personal,61700.0,Engineer,7,4,490.0,492.0,472.0,474.0,Clean,Major Violation,0,1.0,High,Workplace,Driveway,Yes,15600.0,65.0,No,0,Comprehensive,14631.0,Male,Divorced,0
CUST0000076,2022-03-16,2022-05-13,2023-05-13,365,Private_Motor,Broker_B,491.0,30700.88,SUV,9,10020016.37,Personal,105870.0,Student,0,3,491.0,490.0,473.0,472.0,Minor Violation,Clean,1,1.0,Medium,Street,Garage,No,15600.0,70.0,No,0,Comprehensive,13227.0,Female,Single,0
CUST0000077,2021-05-17,2022-04-14,2023-04-14,365,Private_Motor,Broker_A,492.0,30700.1,Sedan,16,10020002.45,Personal,119231.0,Engineer,8,3,494.0,491.0,476.0,473.0,Clean,Clean,1,0.0,Medium,Street,Driveway,No,15600.0,57.0,No,0,Third-Party Only,20301.0,Female,Single,1
CUST0000078,2022-03-26,2022-09-22,2023-09-22,365,Private_Motor,Broker_A,491.0,30700.14,Hatchback,1,10020021.88,Commercial,64251.0,Driver,14,4,490.0,491.0,472.0,473.0,Clean,Clean,0,2.0,High,Garage,Street,No,15600.0,55.0,No,0,Comprehensive,15536.0,Female,Married,0
CUST0000079,2020-10-16,2021-08-17,2022-08-17,365,Private_Motor,Broker_A,491.0,30700.24,Sedan,8,10020005.5,Personal,91653.0,Student,8,2,490.0,497.0,472.0,479.0,Clean,Clean,0,0.0,Low,Garage,Driveway,Yes,15600.0,30.0,No,0,Comprehensive,12717.0,Female,Married,0
CUST0000080,2022-02-16,2022-06-12,2023-06-12,365,Private_Motor,Broker_A,491.0,30700.4,SUV,16,10020002.49,Commercial,84426.0,Student,0,2,491.0,491.0,473.0,473.0,Minor Violation,Clean,0,0.0,Low,Workplace,Street,No,15600.0,52.0,No,0,Third-Party Fire & Theft,14572.0,Male,Single,0
CUST0000081,2023-04-03,2023-06-23,2024-06-22,365,Private_Motor,Broker_A,494.0,30700.33,Hatchback,14,10020008.04,Commercial,79014.0,Student,12,3,493.0,490.0,475.0,472.0,Major Violation,Minor Violation,1,0.0,Medium,Garage,Garage,Yes,15600.0,39.0,No,0,Comprehensive,12850.0,Female,Married,1
CUST0000082,2021-04-20,2022-03-05,2023-03-05,365,Private_Motor,Broker_A,491.0,30700.8,Truck,4,10020011.0,Personal,97760.0,Engineer,3,2,493.0,491.0,475.0,473.0,Clean,Minor Violation,0,0.0,High,Street,Garage,Yes,15600.0,82.0,No,0,Comprehensive,16050.0,Male,Single,0
